id,question,content,category,source
1313,табель не отображаются сотрудники магазина в разделе моя команда,"Если в ""команде"" нет подчиненных сотрудников просьба обратиться в поддержку для корректировки",Табель,оригинал
667,моя карьера откликнуться в кр,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",Моя карьера,оригинал
956,поддержка в лично кабинете не отображается документ по задаче,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",Поддержка,оригинал
1444,"увольнение подскажите, получу ли я премию, если увольняюсь?","Премия и надбавка не начисляется, если на момент расчета премии за отчетный период трудовой договор работника прекращен",Увольнение,оригинал
414,личный кабинет не могу зайти в личный кабинет,"При проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в ЛК на сайте https://company-x5.ru, указываете актуальные и верные логин и пароль. Если Вам неизвестен логин, обратитесь к руководителю (ДМ), он сможет посмотреть Ваш логин и сбросить пароль в веб-табеле. Для самостоятельного сброса пароля позвоните с вашего мобильного телефона на +7 (XXX) XXX XX XX, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. Обновленный пароль отправляется по SMS.",Личный кабинет,оригинал
1016,беременность и роды нужно подписат эцп директору магазина,"Прежде чем создавать заявку, попробуйте самостоятельно выпустить ЭЦП на странице ""электронные подписи"" в личном разделе ЛК.
Обратите внимание, что ЭПЦ перестает действовать за 3 дня до окончания ее срока действия. Если Вы проводите списание, то на этот период данный функционал будет недоступен. Просьба учитывать при планировании работ.",Беременность и роды,оригинал
1364,табель при переводе на другую должность данные по магазину и по сотрудникам пропали из личного кабинета,"Если в ""команде"" нет подчиненных сотрудников просьба обратиться в поддержку для корректировки",Табель,оригинал
1189,прием на работу взять сотрудника в штат,"Для вывода сотрудника в штат создайте, пожалуйста, заявку в Личном кабинете по теме «Табель/график/рабочее время», далее «Обнуление ставок» с подтемой «Прекращение обнуления».",Прием на работу,оригинал
1492,удаленная работа как мне проставить график удалённой работы?,"По процессу, после согласования заявки на УР, необходимо подписать доп. соглашение. Сотрудникам КЦ необходимо подписать дополнительное соглашение: - удаленно с помощью обмена скан-копий или фото документа, а при невозможности – подтверждением по электронной почте. Как только доп. соглашение любым образом подписывается, работник отдела кадров снимает блокировку в SAP HR с доп. соглашения и Вам представляется возможность создать график работы в ЛК.",Удаленная работа,оригинал
1146,"поддержка сотрудник уволен 10 апреля , но у него в лк сейчас упала заявка по переходу этк","Создайте, пожалуйста, обращение в ИТ поддержку на портале support",Поддержка,оригинал
922,поддержка не удалось отправить данные,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",Поддержка,оригинал
1107,поддержка сотрудник не может создать заявку отпуск за свой счет,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",Поддержка,оригинал
1554,удаленная работа вкладка согласование ур не отображается,"Критерии доступности сервиса Удаленная Работа: 1.Сотрудник не на нулевой занятости: процент соединения (ИТ 1001) между штатной должностью и табельным номером на текущую дату больше 0; 2.Сотрудник на офисном графике работы: в ИТ 0007 Нормативное рабочее время на текущую дату установлен график, который в соответствии с Правилом ГРВ (таблица T508A) является офисным – поле KKRKH принимает одно из значений: {1; 2; 3; 4; 6}; 3.У сотрудника есть руководитель: наличие на текущую дату соединения (ИТ 1001) B012 между ОЕ сотрудника и ШД руководителям или BZ10 между ШД сотрудника и ШД руководителя; 4.Уровень CEO- руководителя сотрудника позволяет принимать заявки на УР: на штатной должности руководителя сотрудника установленное на текущую дату значение атрибута (ИТ 1222) Z_PM_CEO Уровень подчиненности до СЕО по сценарию Z_PM Управление эффективностью должностей отсутствует в таблице ZHRT_ESS_REMAPP для формата сотрудника (на данный момент ограничение только на CEO и -1 5.Сотруднику установлен признак «Удаленный офис»: на ШД сотрудника / на ОЕ сотрудника / на вышестоящей ОЕ (по пути анализа P-S-O-O) в ИТ 1010 Комп/ВспомСредства подтипе 9021 Работа на дому установлено значение 002 Удаленный офис. Если какой-то из критериев не выполняется, вкладка «удаленная работа» в личном кабинете будет не доступна. Для внесения изменений в систему SAP, необходимо обратиться к специалистам по кадрам.",Удаленная работа,оригинал
604,личный кабинет при попытки отправить пароль новый всплывает окно об ошибки учетной записи,"При проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в ЛК на сайте https://company-x5.ru, указываете актуальные и верные логин и пароль. Если Вам неизвестен логин, обратитесь к руководителю (ДМ), он сможет посмотреть Ваш логин и сбросить пароль в веб-табеле. Для самостоятельного сброса пароля позвоните с вашего мобильного телефона на +7 (XXX) XXX XX XX, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. Обновленный пароль отправляется по SMS.",Личный кабинет,оригинал
1369,табель в личном кабинете нет вкладки создать заявку на сотрудника. во вкалдке команда только нпс и достижение,"Если в ""команде"" нет подчиненных сотрудников просьба обратиться в поддержку для корректировки",Табель,оригинал
166,заявки прошу отменить заявку в личном кабинете номер заявки,Если заявка не актуальна просьба создать заявку по процессу 5206 - отмена заявки или 5342-закрытие задач,Заявки,оригинал
990,поддержка в личном кабинете не открывается заявка на оформление сотрудника,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",Поддержка,оригинал
302,личный кабинет нет доступа к личному кабинету сотрудника из-за не правильно введенного номера при приеме на работу,"Кнопка ""изменить номер"" телефона находится в личном разделе в ЛК. Если доступа к ЛК нет, для смены номера телефона, обратитесь в поддержку",Личный кабинет,оригинал
38,беременность и роды нужно провести отпуск беременной сотруднице,"Для оформления ежегодного отпуска вне графика сотрудник обращается к Бизнес - партнеру по персоналу для создания заявки в Личном кабинете по теме ""Отпуск вне графика (для HR)"", к заявке прикладывается справка о беременности. Заявления на отпуск принимаются за 6 дней до даты его начала.",Беременность и роды,оригинал
961,поддержка перенос отпуска не отображается в задачах,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",Поддержка,оригинал
530,личный кабинет не работает логин и пароль,"При проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в ЛК на сайте https://company-x5.ru, указываете актуальные и верные логин и пароль. Если Вам неизвестен логин, обратитесь к руководителю (ДМ), он сможет посмотреть Ваш логин и сбросить пароль в веб-табеле. Для самостоятельного сброса пароля позвоните с вашего мобильного телефона на +7 (XXX) XXX XX XX, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. Обновленный пароль отправляется по SMS.",Личный кабинет,оригинал
50,беременность и роды может ли бабушка получить единовременную выплату при рождении ребенка?,"Для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. Заявление на отпуск до 3 лет; 2. Заявление на пособие до 1,5 лет; 3. Копия св-ва о браке родителей; 4. Копии св-ва о рождении всех детей; 5. Документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. Справки от родителей: 1.1 Если работают: Справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (Пример оформления справки – «Выдана_____, в том, что работает с___по настоящее время в_____. Отпуск по уходу за ребенком (ФИО, дата рождения ребенка) не оформлял. Ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. Если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 Если родители не трудоустроены: 1. Копии ТК 2. Справка с Пенсионного фонда РФ о неполучении ежемесячного пособия по уходу за ребенком 3. Приложение к заявлению о назначении пособия до 1,5 лет. Заявку следует создать по процессу 1091 – Администрирование отпуска по уходу за ребенком.",Беременность и роды,оригинал
511,"личный кабинет не могу зайти в лк, пишет что неверный пароль","При проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в ЛК на сайте https://company-x5.ru, указываете актуальные и верные логин и пароль. Если Вам неизвестен логин, обратитесь к руководителю (ДМ), он сможет посмотреть Ваш логин и сбросить пароль в веб-табеле. Для самостоятельного сброса пароля позвоните с вашего мобильного телефона на +7 (XXX) XXX XX XX, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. Обновленный пароль отправляется по SMS.",Личный кабинет,оригинал
606,личный кабинет ошибка авторизации,"При проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в ЛК на сайте https://company-x5.ru, указываете актуальные и верные логин и пароль. Если Вам неизвестен логин, обратитесь к руководителю (ДМ), он сможет посмотреть Ваш логин и сбросить пароль в веб-табеле. Для самостоятельного сброса пароля позвоните с вашего мобильного телефона на +7 (XXX) XXX XX XX, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. Обновленный пароль отправляется по SMS.",Личный кабинет,оригинал
901,поддержка не скачать документ из личного кабинета,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",Поддержка,оригинал
16,"беременность и роды родила ребенка, как оформить пособие?","Если ребенок зарегистрирован в ЗАГС 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять Социальный фонд России. Если ребенок зарегистрирован в ЗАГС до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в Социальный фонд России в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", тема ""Выплата единовременного пособия по рождению ребенка"".",Беременность и роды,оригинал
811,отпуск когда мне начислят деньги на отпуск,Отпускные начисляются не позднее чем за три рабочих дня до даты начала отпуска.,Отпуск,оригинал
1199,"прием на работу пришел новый сотрудник в офис, как его оформить?","Для приема офисного сотрудника, пожалуйста, создайте в разделе ""Прием"" выбрав тему ""1011О - Прием на работу (Офис)"". Подробная информация о создании заявки размещена в ""Базе знаний "".",Прием на работу,оригинал
225,личный кабинет не работает раздел задачи,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в ЛК. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",Личный кабинет,оригинал
1259,табель в личном кабинете нет сотрудников. не могу на них создавать заявки,"Если в ""команде"" нет подчиненных сотрудников просьба обратиться в поддержку для корректировки",Табель,оригинал
534,личный кабинет как создать заявку на восстановление логина и пароля?,"При проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в ЛК на сайте https://company-x5.ru, указываете актуальные и верные логин и пароль. Если Вам неизвестен логин, обратитесь к руководителю (ДМ), он сможет посмотреть Ваш логин и сбросить пароль в веб-табеле. Для самостоятельного сброса пароля позвоните с вашего мобильного телефона на +7 (XXX) XXX XX XX, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. Обновленный пароль отправляется по SMS.",Личный кабинет,оригинал
385,личный кабинет оформленному сотруднику не поступила смс с логином и паролем.,"При проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в ЛК на сайте https://company-x5.ru, указываете актуальные и верные логин и пароль. Если Вам неизвестен логин, обратитесь к руководителю (ДМ), он сможет посмотреть Ваш логин и сбросить пароль в веб-табеле. Для самостоятельного сброса пароля позвоните с вашего мобильного телефона на +7 (XXX) XXX XX XX, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. Обновленный пароль отправляется по SMS.",Личный кабинет,оригинал
844,отпуск нет возможности проставить дни отпуска,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",Отпуск,оригинал
283,личный кабинет изменить номер телефона в лк сотруднику,"Кнопка ""изменить номер"" телефона находится в личном разделе в ЛК. Если доступа к ЛК нет, для смены номера телефона, обратитесь в поддержку",Личный кабинет,оригинал
1157,поддержка зависла задача в лк,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",Поддержка,оригинал
117,зарплата куда подать новые банковские реквизиты.,"Пожалуйста, создайте заявку в разделе ""Зарплатная карта"", выбрав подтему ""Изменение банковских реквизитов""",Зарплата,оригинал
1257,"табель в личном кабинете исчезли все задвчи и заявки, так же исчезла вкладка ""моя команда"" с сотрудниками","Если в ""команде"" нет подчиненных сотрудников просьба обратиться в поддержку для корректировки",Табель,оригинал
1172,поддержка не открывается проф тест пк,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",Поддержка,оригинал
204,личный кабинет вернулась старая задача,"Если сотрудник архива не выполнил задача ""подтвердить получение документов"", заявка возвращается на шаг фронт-офиса, при этом создается новая задача. Такая логика процесса утверждена и согласована с представителями от бизнеса",Личный кабинет,оригинал
637,личный кабинет изменение персональных данных,"Для изменения персональных данных (адрес/образование/дети/ФИО/СНИЛС/Семейный статус/ИНН) создается заявка в ЛК2 по теме Изменение персональных данных https://company-x5.ru/requests/page/support/1001080/19111/my/?tile=20 К заявке прикладывается документ, подтверждающий изменение. Инструкция доступна по ссылке https://company-x5.ru/cms/1234",Личный кабинет,оригинал
849,отпуск прошу открыть доступ к планированию отпуска,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",Отпуск,оригинал
977,поддержка в заявке неактивны кнопки,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",Поддержка,оригинал
285,личный кабинет сменить номер телефона сотрудника,"Кнопка ""изменить номер"" телефона находится в личном разделе в ЛК. Если доступа к ЛК нет, для смены номера телефона, обратитесь в поддержку",Личный кабинет,оригинал
1235,"табель нет возможности создать заявку на сотрудника по табельному учету, прошу решить проблему","Если в ""команде"" нет подчиненных сотрудников просьба обратиться в поддержку для корректировки",Табель,оригинал
1116,поддержка не могу закрыть задачу в личном кабинете. отсутствует кнопка для выполнения-закрытия задачи,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",Поддержка,оригинал
669,моя карьера не доступен раздел карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",Моя карьера,оригинал
709,налоговый вычет как создать заявку на налоговый вычет?,"Для получения вычета создайте, пожалуйста, заявку в разделе ""Заявки"" по теме ""Льготы, выплаты, материальная помощь"", подтема ""Налоговые вычеты"".",Налоговый вычет,оригинал
896,поддержка не могу подписать график в личном кабинете,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",Поддержка,оригинал
488,личный кабинет сброс пароля,"При проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в ЛК на сайте https://company-x5.ru, указываете актуальные и верные логин и пароль. Если Вам неизвестен логин, обратитесь к руководителю (ДМ), он сможет посмотреть Ваш логин и сбросить пароль в веб-табеле. Для самостоятельного сброса пароля позвоните с вашего мобильного телефона на +7 (XXX) XXX XX XX, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. Обновленный пароль отправляется по SMS.",Личный кабинет,оригинал
1153,"поддержка пк работает в настоящее время, в лк стоит статус - уволена.","По данному вопросу Вы можете обратиться в кадровую службу, создав заявку ""Консультация по HR вопросам""",Поддержка,оригинал
544,личный кабинет сотрудник не может зайти в лк,"При проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в ЛК на сайте https://company-x5.ru, указываете актуальные и верные логин и пароль. Если Вам неизвестен логин, обратитесь к руководителю (ДМ), он сможет посмотреть Ваш логин и сбросить пароль в веб-табеле. Для самостоятельного сброса пароля позвоните с вашего мобильного телефона на +7 (XXX) XXX XX XX, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. Обновленный пароль отправляется по SMS.",Личный кабинет,оригинал
809,отпуск добрый день. нет возможности перенести отпуск,"Для переноса планового отпуска сотрудник переходит в раздел «Отпуска» https://company-x5.ru/vacations/plan?vp_page=1 , а затем нажимает кнопку «Выберите действие», далее «Перенос планового отпуска». Обращаем внимание, что перенос планового отпуска возможен не позднее, чем за 6 рабочих дней до его начала. В указанном разделе можно перенести отпуск или удалить плановый отпуск и указать новые даты с использованием правил переноса.",Отпуск,оригинал
413,личный кабинет как сбросить пароль,"При проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в ЛК на сайте https://company-x5.ru, указываете актуальные и верные логин и пароль. Если Вам неизвестен логин, обратитесь к руководителю (ДМ), он сможет посмотреть Ваш логин и сбросить пароль в веб-табеле. Для самостоятельного сброса пароля позвоните с вашего мобильного телефона на +7 (XXX) XXX XX XX, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. Обновленный пароль отправляется по SMS.",Личный кабинет,оригинал
10,беременность и роды что делать после получения больничного по беременности и родам,"Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", ""Администрирование отпуска БИР"".",Беременность и роды,оригинал
943,поддержка неактивны документы для печати,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",Поддержка,оригинал
